nameWithOwner,url,stargazerCount,createdAt,releases,primaryLanguage,age,processed
hs-web/hsweb-framework,https://github.com/hs-web/hsweb-framework,7778,2016-01-18T03:51:39Z,24,Java,2253,false
trello/RxLifecycle,https://github.com/trello/RxLifecycle,7693,2015-07-20T13:32:23Z,22,Java,2435,false
kaushikgopal/RxJava-Android-Samples,https://github.com/kaushikgopal/RxJava-Android-Samples,7526,2014-07-23T05:13:52Z,0,Java,2797,false
signalapp/Signal-Server,https://github.com/signalapp/Signal-Server,7519,2013-12-09T07:10:36Z,0,Java,3023,false
react-native-image-picker/react-native-image-picker,https://github.com/react-native-image-picker/react-native-image-picker,7515,2015-06-08T20:25:31Z,99,Java,2476,false
dropwizard/metrics,https://github.com/dropwizard/metrics,7508,2010-02-26T19:44:42Z,86,Java,4404,false
apache/dolphinscheduler,https://github.com/apache/dolphinscheduler,7490,2019-03-01T16:39:25Z,24,Java,1114,false
aritraroy/UltimateAndroidReference,https://github.com/aritraroy/UltimateAndroidReference,7466,2017-04-10T07:28:27Z,0,Java,1805,false
apache/shardingsphere-elasticjob,https://github.com/apache/shardingsphere-elasticjob,7443,2015-09-11T11:28:52Z,27,Java,2382,false
google/tsunami-security-scanner,https://github.com/google/tsunami-security-scanner,7414,2020-06-03T16:20:00Z,9,Java,655,false
facebook/litho,https://github.com/facebook/litho,7355,2017-01-27T03:59:11Z,48,Java,1878,false
KunMinX/Jetpack-MVVM-Best-Practice,https://github.com/KunMinX/Jetpack-MVVM-Best-Practice,7319,2019-10-31T05:21:01Z,0,Java,871,false
lecho/hellocharts-android,https://github.com/lecho/hellocharts-android,7286,2014-10-12T09:12:37Z,14,Java,2716,false
google/agera,https://github.com/google/agera,7283,2015-12-17T13:22:58Z,16,Java,2285,false
square/dagger,https://github.com/square/dagger,7278,2012-08-02T23:25:32Z,0,Java,3516,false
Bearded-Hen/Android-Bootstrap,https://github.com/Bearded-Hen/Android-Bootstrap,7252,2013-11-01T15:36:17Z,5,Java,3061,false
cymcsg/UltimateRecyclerView,https://github.com/cymcsg/UltimateRecyclerView,7246,2015-01-28T02:27:45Z,9,Java,2608,false
vipshop/vjtools,https://github.com/vipshop/vjtools,7244,2018-05-29T09:07:08Z,9,Java,1391,false
pedant/sweet-alert-dialog,https://github.com/pedant/sweet-alert-dialog,7234,2014-10-19T09:24:09Z,2,Java,2709,false
davemorrissey/subsampling-scale-image-view,https://github.com/davemorrissey/subsampling-scale-image-view,7213,2013-08-26T16:45:25Z,21,Java,3127,false
zhoutaoo/SpringCloud,https://github.com/zhoutaoo/SpringCloud,7212,2017-07-23T14:28:08Z,0,Java,1701,false
koush/AndroidAsync,https://github.com/koush/AndroidAsync,7191,2012-08-24T07:27:04Z,0,Java,3495,false
gedoor/MyBookshelf,https://github.com/gedoor/MyBookshelf,7188,2018-06-12T03:48:07Z,164,Java,1377,false
crazycodeboy/TakePhoto,https://github.com/crazycodeboy/TakePhoto,7178,2015-08-04T02:05:32Z,15,Java,2420,false
apache/cassandra,https://github.com/apache/cassandra,7176,2009-05-21T02:10:09Z,0,Java,4686,false
JakeWharton/ActionBarSherlock,https://github.com/JakeWharton/ActionBarSherlock,7154,2011-03-07T17:28:54Z,32,Java,4030,false
leolin310148/ShortcutBadger,https://github.com/leolin310148/ShortcutBadger,7144,2013-11-15T12:51:52Z,0,Java,3047,false
geeeeeeeeek/WeChatLuckyMoney,https://github.com/geeeeeeeeek/WeChatLuckyMoney,7131,2015-09-30T16:11:20Z,20,Java,2363,false
cryptomator/cryptomator,https://github.com/cryptomator/cryptomator,7087,2014-02-02T00:43:47Z,125,Java,2968,false
barteksc/AndroidPdfViewer,https://github.com/barteksc/AndroidPdfViewer,7076,2016-06-02T20:21:21Z,0,Java,2116,false
ionic-team/capacitor,https://github.com/ionic-team/capacitor,7069,2017-11-18T21:38:09Z,75,Java,1582,false
alibaba/otter,https://github.com/alibaba/otter,7068,2013-08-09T09:31:22Z,10,Java,3145,false
java-native-access/jna,https://github.com/java-native-access/jna,7033,2011-04-29T13:30:29Z,0,Java,3978,false
theonedev/onedev,https://github.com/theonedev/onedev,7001,2018-11-06T02:57:01Z,108,Java,1230,false
google/android-classyshark,https://github.com/google/android-classyshark,6974,2015-10-12T13:40:48Z,17,Java,2351,false
metersphere/metersphere,https://github.com/metersphere/metersphere,6968,2020-02-03T02:06:12Z,135,Java,776,false
ogaclejapan/SmartTabLayout,https://github.com/ogaclejapan/SmartTabLayout,6966,2015-02-14T11:25:51Z,0,Java,2591,false
swagger-api/swagger-core,https://github.com/swagger-api/swagger-core,6950,2011-07-05T23:44:11Z,72,Java,3910,false
checkstyle/checkstyle,https://github.com/checkstyle/checkstyle,6945,2013-08-31T02:05:05Z,113,Java,3123,false
Qihoo360/RePlugin,https://github.com/Qihoo360/RePlugin,6929,2017-06-08T09:39:09Z,17,Java,1746,false
alibaba/COLA,https://github.com/alibaba/COLA,6927,2018-02-06T13:46:27Z,4,Java,1503,false
kevin-wayne/algs4,https://github.com/kevin-wayne/algs4,6921,2015-08-31T09:28:49Z,0,Java,2393,false
goldze/MVVMHabit,https://github.com/goldze/MVVMHabit,6898,2017-07-21T10:38:40Z,3,Java,1703,false
dyc87112/SpringCloud-Learning,https://github.com/dyc87112/SpringCloud-Learning,6891,2016-08-21T03:39:52Z,0,Java,2037,false
seven332/EhViewer,https://github.com/seven332/EhViewer,6888,2014-05-14T12:03:52Z,97,Java,2867,false
hongyangAndroid/okhttputils,https://github.com/hongyangAndroid/okhttputils,6865,2015-08-17T14:53:29Z,0,Java,2407,false
uber/RIBs,https://github.com/uber/RIBs,6774,2017-10-03T18:18:50Z,4,Java,1628,false
abel533/Mapper,https://github.com/abel533/Mapper,6770,2014-11-21T11:02:10Z,2,Java,2676,false
kekingcn/kkFileView,https://github.com/kekingcn/kkFileView,6750,2017-12-12T11:41:08Z,10,Java,1559,false
json-path/JsonPath,https://github.com/json-path/JsonPath,6749,2011-01-24T13:19:19Z,8,Java,4073,false
