nameWithOwner,url,stargazerCount,createdAt,releases,primaryLanguage,age,processed,cbo,dit,lcom*,loc
jtablesaw/tablesaw,https://github.com/jtablesaw/tablesaw,2853,2016-01-01T14:58:28Z,77,Java,2272,true,6.02710027100271,2,Not processed.,46190
openaphid/android-flip,https://github.com/openaphid/android-flip,2853,2012-05-22T07:48:41Z,0,Java,3591,true,4.802469135802469,2,Not processed.,3686
sublimehq/Packages,https://github.com/sublimehq/Packages,2853,2015-06-13T04:17:44Z,0,Java,2474,true,0.875,1,Not processed.,364
nanchen2251/RxJava2Examples,https://github.com/nanchen2251/RxJava2Examples,2852,2017-06-19T05:38:45Z,0,Java,1737,true,2.963855421686747,1,Not processed.,3713
nic-delhi/AarogyaSetu_Android,https://github.com/nic-delhi/AarogyaSetu_Android,2851,2020-05-26T17:36:26Z,0,Java,665,true,5.8125,2,Not processed.,3906
SpecialCyCi/AndroidResideMenu,https://github.com/SpecialCyCi/AndroidResideMenu,2846,2013-12-14T15:25:49Z,7,Java,3020,true,5.5,2,0.205531885,701
eclipse-openj9/openj9,https://github.com/eclipse-openj9/openj9,2845,2017-08-25T13:46:07Z,30,Java,1670,true,3.4034372269152344,1,Not processed.,589535
Mojang/brigadier,https://github.com/Mojang/brigadier,2842,2014-09-15T08:48:24Z,3,Java,2745,true,6.617283950617284,1,0.30823718358024693,4012
donglua/PhotoPicker,https://github.com/donglua/PhotoPicker,2842,2015-06-25T16:53:50Z,13,Java,2462,true,4.863636363636363,2,Not processed.,2904
jiangqqlmj/FastDev4Android,https://github.com/jiangqqlmj/FastDev4Android,2840,2015-10-22T05:22:53Z,4,Java,2343,true,4.704491725768322,1,Not processed.,17740
w446108264/XhsEmoticonsKeyboard,https://github.com/w446108264/XhsEmoticonsKeyboard,2837,2015-03-06T02:39:34Z,7,Java,2573,true,5.311258278145695,3,Not processed.,5625
M66B/FairEmail,https://github.com/M66B/FairEmail,2834,2018-08-02T13:30:25Z,1800,Java,1328,true,4.742359413202934,1,Not processed.,195780
AweiLoveAndroid/CommonDevKnowledge,https://github.com/AweiLoveAndroid/CommonDevKnowledge,2833,2017-12-15T03:00:08Z,0,Java,1558,true,1.8333333333333333,1,Not processed.,882
jprante/elasticsearch-jdbc,https://github.com/jprante/elasticsearch-jdbc,2832,2012-06-02T23:17:56Z,19,Java,3579,true,4.524271844660194,1,Not processed.,8057
tianshiyeben/wgcloud,https://github.com/tianshiyeben/wgcloud,2826,2019-01-15T02:02:21Z,9,Java,1162,true,5.911290322580645,1,Not processed.,6428
ikarus23/MifareClassicTool,https://github.com/ikarus23/MifareClassicTool,2825,2013-02-12T15:39:03Z,2,Java,3325,true,10.93939393939394,3,0.4431516524242424,6514
jiajunhui/PlayerBase,https://github.com/jiajunhui/PlayerBase,2825,2017-03-28T10:19:51Z,18,Java,1820,true,4.877419354838709,1,Not processed.,12609
jenkinsci/blueocean-plugin,https://github.com/jenkinsci/blueocean-plugin,2822,2016-01-23T18:02:45Z,31,Java,2250,true,7.596340150699677,2,Not processed.,39523
ddd-by-examples/library,https://github.com/ddd-by-examples/library,2821,2019-01-11T09:14:03Z,0,Java,1166,true,6.788617886178862,1,Not processed.,1770
JulienGenoud/android-percent-support-lib-sample,https://github.com/JulienGenoud/android-percent-support-lib-sample,2821,2015-06-26T12:44:38Z,2,Java,2461,true,5.9,1,0.25880951999999996,307
cSploit/android,https://github.com/cSploit/android,2818,2014-10-04T05:53:29Z,33,Java,2726,true,4.208984375,1,Not processed.,22657
FinalTeam/RxGalleryFinal,https://github.com/FinalTeam/RxGalleryFinal,2811,2016-04-22T01:41:15Z,1,Java,2160,true,5.174863387978142,1,Not processed.,8273
mzule/ActivityRouter,https://github.com/mzule/ActivityRouter,2810,2016-04-08T02:27:14Z,3,Java,2174,true,3.1666666666666665,2,Not processed.,874
nextcloud/android,https://github.com/nextcloud/android,2806,2016-06-06T21:23:36Z,182,Java,2114,true,8.97983870967742,2,Not processed.,59417
JackyAndroid/AndroidTVLauncher,https://github.com/JackyAndroid/AndroidTVLauncher,2803,2016-03-27T08:59:19Z,3,Java,2186,true,5.566666666666666,1,Not processed.,1086
square/flow,https://github.com/square/flow,2799,2013-09-12T22:20:16Z,0,Java,3112,true,4.664335664335664,1,0.13652626398601397,3591
googlesamples/google-services,https://github.com/googlesamples/google-services,2797,2015-05-20T22:45:11Z,0,Java,2497,true,6.78125,1,Not processed.,1078
JoanZapata/android-pdfview,https://github.com/JoanZapata/android-pdfview,2796,2012-11-21T16:19:38Z,0,Java,3408,true,3.4054054054054053,1,Not processed.,2833
google/binnavi,https://github.com/google/binnavi,2794,2015-08-19T12:20:24Z,3,Java,2407,true,6.328731097961867,1,Not processed.,229006
mmin18/RealtimeBlurView,https://github.com/mmin18/RealtimeBlurView,2794,2016-09-21T15:59:51Z,0,Java,2008,true,6.333333333333333,4,0.20111111866666667,676
Teevity/ice,https://github.com/Teevity/ice,2791,2013-06-14T20:56:13Z,3,Java,3202,true,5.847058823529411,1,Not processed.,5153
201206030/fiction_house,https://github.com/201206030/fiction_house,2789,2019-11-11T01:13:52Z,5,Java,862,true,4.010416666666667,1,Not processed.,9372
bastillion-io/Bastillion,https://github.com/bastillion-io/Bastillion,2788,2013-02-07T23:11:49Z,17,Java,3329,true,7.25,1,0.5403790165625001,5129
florent37/ExpectAnim,https://github.com/florent37/ExpectAnim,2787,2017-02-20T15:05:03Z,1,Java,1856,true,4.722222222222222,1,0.18762027236111106,1868
spring-io/initializr,https://github.com/spring-io/initializr,2785,2013-06-07T16:02:22Z,12,Java,3210,true,6.044709388971684,1,0.2439047417719821,27661
